,elevation,mindate,maxdate,latitude,name,datacoverage,id,elevationUnit,longitude
0,139.0,1948-01-01,2014-01-01,31.5702,"ABBEVILLE, AL US",0.8813,COOP:010008,METERS,-85.2482
1,239.6,1938-01-01,2015-11-01,34.21096,"ADDISON, AL US",0.5059,COOP:010063,METERS,-87.17838
2,302.1,1940-05-01,1962-03-01,34.41667,"ADDISON CENTRAL TOWER, AL US",0.9658,COOP:010071,METERS,-87.31667
3,172.5,1995-04-01,2015-11-01,33.17835,"ALABASTER SHELBY CO AIRPORT ASOS, AL US",0.8064,COOP:010116,METERS,-86.78178
4,183.8,1949-01-01,1949-12-01,34.6891,"BELLE MINA 2 N, AL US",1.0,COOP:010117,METERS,-86.8819
5,34.1,1935-05-01,1936-11-01,31.13333,"ALAGA, AL US",0.2624,COOP:010125,METERS,-85.06667
6,53.3,1940-11-01,2014-12-01,32.2322,"ALBERTA, AL US",0.9888,COOP:010140,METERS,-87.4104
7,348.1,1931-01-01,1977-06-01,34.23333,"ALBERTVILLE, AL US",0.9535,COOP:010148,METERS,-86.16667
8,201.2,1969-10-01,2015-11-01,32.935,"ALEXANDER CITY, AL US",0.9946,COOP:010160,METERS,-85.95556
9,200.9,1942-11-01,1969-10-01,32.98333,"ALEXANDER CITY 6 NE, AL US",0.9629,COOP:010163,METERS,-85.86667
10,59.4,1940-01-01,2015-11-01,33.1272,"ALICEVILLE, AL US",0.9144,COOP:010178,METERS,-88.155
11,50.3,1980-05-01,2015-11-01,33.21,"BEVILL LOCK AND DAM, AL US",0.9883,COOP:010184,METERS,-88.2878
12,76.2,1938-01-01,2015-11-01,31.3071,"ANDALUSIA 3 W, AL US",0.9744,COOP:010252,METERS,-86.5226
13,231.6,2004-07-01,2015-11-01,34.96285,"LEXINGTON, AL US",1.0,COOP:010260,METERS,-87.37195
14,220.1,1948-01-01,1949-03-01,33.66667,"ANNISTON, AL US",1.0,COOP:010267,METERS,-85.83333
15,181.8,1948-01-01,2015-11-01,33.59043,"ANNISTON METROPOLITAN AIRPORT, AL US",0.9816,COOP:010272,METERS,-85.84788
16,227.1,1938-01-01,1983-10-01,34.06667,"ARLEY 1 S, AL US",0.9691,COOP:010338,METERS,-87.23333
17,311.5,1948-01-01,2013-11-01,33.2941,"ASHLAND, AL US",0.8872,COOP:010369,METERS,-85.7788
18,180.1,1941-06-01,1973-06-01,33.85,"ASHVILLE, AL US",0.9429,COOP:010377,METERS,-86.33333
19,210.0,1948-01-01,2015-11-01,34.7752,"ATHENS, AL US",0.5632,COOP:010390,METERS,-86.9508
20,219.5,1955-10-01,1991-07-01,34.8,"ATHENS 2, AL US",0.9442,COOP:010395,METERS,-86.98333
21,220.1,1958-05-01,1958-06-01,34.8,"ATHENS COURTHOUSE, AL US",0.998,COOP:010398,METERS,-86.96667
22,91.4,1940-01-01,2015-11-01,31.182,"ATMORE, AL US",0.7103,COOP:010402,METERS,-87.439
23,67.1,1965-01-01,1982-10-01,31.01667,"ATMORE, AL US",0.967,COOP:010407,METERS,-87.51667
