       mindate     maxdate                                                                                                     name  datacoverage    id
0    1991-06-05  2023-05-24                                                                                                Base Data        0.9500   ALL
1    1982-01-01  2023-05-25                                                                                       Average wind speed        1.0000  AWND
2    1763-01-01  2023-04-01                                                                       Cooling Degree Days Season to Date        1.0000  CDSD
3    1763-01-01  2023-04-01                                                                                      Cooling Degree Days        1.0000  CLDD
4    2011-03-08  2023-05-26           Digital Accumulation Array(One Hour Precipitation total (256 levels) with Dual Pol. algorithm)        0.9500   DAA
5    1832-05-11  2023-05-26                                       Number of days included in the multiday precipitation total (MDPR)        1.0000  DAPR
6    1863-05-04  2023-05-20                                       Number of days included in the multiday minimum temperature (MDTN)        1.0000  DATN
7    1863-05-04  2023-05-19                                       Number of days included in the multiday maximum temperature (MDTX)        1.0000  DATX
8    1994-05-20  2023-05-26                                                                         Digital Hybrid Scan Reflectivity        0.9500   DHR
9    2011-03-08  2023-05-26                                                              One Hour Precipitation Difference = DAA-N1P        0.9500   DOD
10   1781-01-01  2023-04-01                                   Number of days with greater than or equal to 0.1 inch of precipitation        1.0000  DP01
11   1781-01-01  2023-04-01                                   Number of days with greater than or equal to 1.0 inch of precipitation        1.0000  DP10
12   1994-06-17  2023-05-26                                                                              Digital Precipitation Array        0.9500   DPA
13   2011-03-08  2023-05-26                                                                         Instantaneous Precipitation Rate        0.9500   DPR
14   2011-03-08  2023-05-26                                                           Storm Total Precipitation Difference = DTA-DSP        0.9500   DSD
15   1863-12-01  2023-04-01                                             Number days with snow depth > 1 inch(25.4mm) for the period.        1.0000  DSND
16   1840-05-01  2023-04-01                                                                    Number days with snow depth > 1 inch.        1.0000  DSNW
17   1994-06-17  2023-05-26                                                                        Digital Storm Total Precipitation        0.9500   DSP
18   1763-01-01  2023-04-01                                         Number days with minimum temperature less than or equal to 0.0 F        1.0000  DT00
19   1763-01-01  2023-04-01                                        Number days with minimum temperature less than or equal to 32.0 F        1.0000  DT32
20   2011-03-08  2023-05-26  Digital Storm Total Accumulation(Storm Total Precipitation total (256 levels) with Dual Pol. algorithm)        0.9500   DTA
21   1994-05-20  2023-05-26                                                                       Digital Vertical Integrated Liquid        0.9500   DVL
22   1832-05-11  2023-05-20               Number of days with non-zero precipitation included in multiday precipitation total (MDPR)        1.0000  DWPR
23   1763-01-01  2023-04-01                                                             Number days with maximum temperature < 32 F.        1.0000  DX32
24   1763-01-01  2023-04-01                                                      Number days with maximum temperature > 70 F (21.1C)        1.0000  DX70
25   1763-01-01  2023-04-01                                                      Number days with maximum temperature > 90 F (32.2C)        1.0000  DX90
26   1763-01-01  2023-04-01                                                 Day Extreme minimum temperature occurred for the period.        1.0000  DYNT
27   1863-12-01  2023-04-01                                        Day the extreme maximum daily Snow Depth for the period occurred.        1.0000  DYSD
28   1840-05-01  2023-04-01                                          Day the extreme maximum daily snowfall for the period occurred.        1.0000  DYSN
